timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622357213284,169,1_HTTP_ReqRes_GET_page_21,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,1110,160,1,1,https://reqres.in/api/users?page=21,169,0,110
1622357213453,523,1_HTTP_ReqRes_POST_jamil,201,Created,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,942,220,1,1,https://reqres.in/api/users,523,0,0
1622357213976,301,2_HTTP_ReqRes_GET_page_3,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,1111,159,1,1,https://reqres.in/api/users?page=3,301,0,184
1622357214281,278,3_HTTP_ReqRes_GET_page_2,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-4,text,true,,1944,159,2,2,https://reqres.in/api/users?page=2,278,0,182
1622357214277,518,2_HTTP_ReqRes_POST_harry,201,Created,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,934,220,2,2,https://reqres.in/api/users,518,0,0
1622357214559,505,3_HTTP_ReqRes_POST_sahib,201,Created,jp@gc - Ultimate Thread Group (Load Testing) 1-4,text,true,,942,220,2,2,https://reqres.in/api/users,505,0,0
1622357214796,295,4_HTTP_ReqRes_GET_page_3,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,1105,159,2,2,https://reqres.in/api/users?page=3,295,0,192
1622357215065,425,5_HTTP_ReqRes_GET_page_2,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-4,text,true,,1941,159,3,3,https://reqres.in/api/users?page=2,425,0,100
1622357215280,284,6_HTTP_ReqRes_GET_page_3,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-3,text,true,,1107,159,3,3,https://reqres.in/api/users?page=3,284,0,188
1622357215091,500,4_HTTP_ReqRes_POST_raj,201,Created,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,930,218,3,3,https://reqres.in/api/users,500,0,0
1622357215491,328,5_HTTP_ReqRes_POST_amit,201,Created,jp@gc - Ultimate Thread Group (Load Testing) 1-4,text,true,,935,219,3,3,https://reqres.in/api/users,328,0,0
1622357215592,334,7_HTTP_ReqRes_GET_page_2,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,1940,159,3,3,https://reqres.in/api/users?page=2,334,0,233
1622357215565,499,6_HTTP_ReqRes_POST_sandhu,201,Created,jp@gc - Ultimate Thread Group (Load Testing) 1-3,text,true,,940,221,3,3,https://reqres.in/api/users,499,0,0
1622357215819,316,8_HTTP_ReqRes_GET_page_3,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-4,text,true,,1113,159,3,3,https://reqres.in/api/users?page=3,316,0,212
1622357216065,148,9_HTTP_ReqRes_GET_page_2,200,OK,jp@gc - Ultimate Thread Group (Load Testing) 1-3,text,true,,1939,159,3,3,https://reqres.in/api/users?page=2,147,0,97
1622357215926,464,7_HTTP_ReqRes_POST_bajaj,201,Created,jp@gc - Ultimate Thread Group (Load Testing) 1-5,text,true,,946,220,4,4,https://reqres.in/api/users,464,0,0
